position,original_t,filtered_t,obs_time,obs_s
17.9,4.91333,6.87979
18,4.93333,6.92979
18.1,4.95333,6.97979
18.2,4.97333,7.02979
18.3,4.99333,7.07979
18.4,5.01333,7.12979
18.5,5.03333,7.17979
18.6,5.05333,7.22979
18.7,5.07333,7.27979
18.8,5.09333,7.32979
18.9,5.11333,7.37979
19,5.13333,7.41464
19.1,5.15333,7.43464
19.2,5.17333,7.45464
19.3,5.19333,7.47464
19.4,5.21333,7.49464
19.5,5.23333,7.51464
19.6,5.25333,7.53464
19.7,5.27333,7.55464
19.8,5.29333,7.57464
19.9,5.31333,7.59464
20,5.33333,7.61464
20.1,5.35833,7.63964
20.2,5.38333,7.66464
20.3,5.40833,7.68964
20.4,5.43333,7.71464
20.5,5.45833,7.73964
20.6,5.48333,7.76464
20.7,5.50833,7.78964
20.8,5.53333,7.81464
20.9,5.55833,7.83964
21,5.58333,7.86464
21.1,5.60833,7.88964
21.2,5.63333,7.91464
21.3,5.65833,7.93964
21.4,5.68333,7.96464
21.5,5.70833,7.98964
21.6,5.73333,8.01464
21.7,5.75833,8.03964
21.8,5.78333,8.06464
21.9,5.80833,8.08964
22,5.83333,8.11464
22.1,5.85833,8.13964
22.2,5.88333,8.16464
22.3,5.90833,8.18964
22.4,5.93333,8.21464
22.5,5.95833,8.23964
22.6,5.98333,8.26464
22.7,6.00833,8.28964
22.8,6.03333,8.31464
22.9,6.05833,8.33964
23,6.08333,8.36464
23.1,6.10833,8.38964
23.2,6.13333,8.41464
23.3,6.15833,8.43964
23.4,6.18333,8.46464
23.5,6.20833,8.48964
23.6,6.23333,8.51464
23.7,6.25833,8.53964
23.8,6.28333,8.56464
23.9,6.30833,8.58964
24,6.33333,8.61464
24.1,6.35833,8.63964
24.2,6.38333,8.66464
24.3,6.40833,8.68964
24.4,6.43333,8.71464
24.5,6.45833,8.73964
24.6,6.48333,8.76464
24.7,6.50833,8.78964
24.8,6.53333,8.81464
24.9,6.55833,8.83964
25,6.58333,8.86464
25.1,6.60833,8.88964
25.2,6.63333,8.91464
25.3,6.65833,8.93964
25.4,6.68333,8.96464
25.5,6.70833,8.98964
25.6,6.73333,9.01464
25.7,6.75833,9.03964
25.8,6.78333,9.06464
25.9,6.80833,9.08964
26,6.83333,9.11464
26.1,6.85833,9.13964
26.2,6.88333,9.16464
26.3,6.90833,9.18964
26.4,6.93333,9.21464
26.5,6.95833,9.23964
26.6,6.98333,9.26464
26.7,7.00833,9.28964
26.8,7.03333,9.31464
26.9,7.05833,9.33964
27,7.08333,9.36464
27.1,7.10833,9.38964
27.2,7.13333,9.41464
27.3,7.15833,9.43964
27.4,7.18333,9.46464
27.5,7.20833,9.48964
27.6,7.23333,9.51464
27.7,7.25833,9.53964
27.8,7.28333,9.56464
27.9,7.30833,9.58964
28,7.33333,9.61464
28.1,7.35833,9.63964
28.2,7.38333,9.66464
28.3,7.40833,9.68964
28.4,7.43333,9.71464
28.5,7.45833,9.73964
28.6,7.48333,9.76464
28.7,7.50833,9.78964
28.8,7.53333,9.81464
28.9,7.55833,9.83964
29,7.58333,9.86464
29.1,7.60833,9.88964
29.2,7.63333,9.91464
29.3,7.65833,9.93964
29.4,7.68333,9.96464
29.5,7.70833,9.98964
29.6,7.73333,10.0146
29.7,7.75833,10.0396
29.8,7.78333,10.0646
29.9,7.80833,10.0896
