obs_time,obs_s
7,15
7.1,15.1
7.2,15.2
7.3,15.3
7.4,15.4
7.5,15.5
7.6,15.6
7.7,15.7
7.8,15.8
7.9,15.9
8,16
8.1,16.1
8.2,16.2
8.3,16.3
8.4,16.4
8.5,16.5
8.6,16.6
8.7,16.7
8.8,16.8
8.9,16.9
9,17
9.1,17.1
9.2,17.2
9.3,17.3
9.4,17.4
9.5,17.5
9.6,17.6
9.7,17.7
9.8,17.8
9.9,17.9
10,18
10.1,18.1
10.2,18.2
10.3,18.3
10.4,18.4
10.5,18.5
10.6,18.6
10.7,18.7
10.8,18.8
10.9,18.9
11,19
11.1,19.1
11.2,19.2
11.3,19.3
11.4,19.4
11.5,19.5
11.6,19.6
11.7,19.7
11.8,19.8
11.9,19.9
12,20
12.1,20.1
12.2,20.2
12.3,20.3
12.4,20.4
12.5,20.5
12.6,20.6
12.7,20.7
12.8,20.8
12.9,20.9
13,21
13.1,21.1
13.2,21.2
13.3,21.3
13.4,21.4
13.5,21.5
13.6,21.6
13.7,21.7
13.8,21.8
13.9,21.9
14,22
14.1,22.1
14.2,22.2
14.3,22.3
14.4,22.4
14.5,22.5
14.6,22.6
14.7,22.7
14.8,22.8
14.9,22.9
15,23
15.1,23.1
15.2,23.2
15.3,23.3
15.4,23.4
15.5,23.5
15.6,23.6
15.7,23.7
15.8,23.8
15.9,23.9
16,24
16.1,24.1
16.2,24.2
16.3,24.3
16.4,24.4
16.5,24.5
16.6,24.6
16.7,24.7
16.8,24.8
16.9,24.9
