qp_position,time,qp_velocity,qp_acceleration,qp_jerk
11.8,5.76807,2.22407,-0.582814,0.8
11.9,5.81358,2.19771,-0.546844,0.800006
12,5.8596,2.17268,-0.510442,0.8
12.1,5.90613,2.14906,-0.473621,0.79998
12.2,5.95315,2.12691,-0.436397,0.799946
12.3,6.00063,2.10629,-0.398786,0.799897
12.4,6.04854,2.08727,-0.360809,0.799835
12.5,6.09685,2.06991,-0.32249,0.799758
12.6,6.14553,2.05427,-0.283853,0.799668
12.7,6.19454,2.04041,-0.244925,0.799565
12.8,6.24384,2.02837,-0.205739,0.799451
12.9,6.29339,2.0182,-0.166326,0.799327
13,6.34314,2.00994,-0.12672,0.799195
13.1,6.39305,2.00363,-0.0869575,0.799057
13.2,6.44307,1.99928,-0.0470771,0.798915
13.3,6.49314,1.99693,-0.00711702,0.798771
13.4,6.54323,1.99657,0.032883,0.0549511
13.5,6.59327,1.99822,0.0356353,-0.71207
13.6,6.64327,2,-7.10543e-13,1.42109e-11
13.7,6.69327,2,0,0
13.8,6.74327,2,0,0
13.9,6.79327,2,0,0
14,6.84327,2,0,1.42109e-11
14.1,6.89327,2,7.10543e-13,-2.84217e-11
14.2,6.94327,2,-7.10543e-13,1.42109e-11
14.3,6.99327,2,0,0
14.4,7.04327,2,0,1.42109e-11
14.5,7.09327,2,7.10543e-13,-2.84217e-11
14.6,7.14327,2,-7.10543e-13,1.42109e-11
14.7,7.19327,2,0,0
14.8,7.24327,2,0,0
14.9,7.29327,2,0,0
15,7.34327,2,0,0
15.1,7.39327,2,0,2.84217e-11
15.2,7.44327,2,1.42109e-12,-5.68434e-11
15.3,7.49327,2,-1.42109e-12,4.26326e-11
15.4,7.54327,2,7.10543e-13,-4.26326e-11
15.5,7.59327,2,-1.42109e-12,4.26326e-11
15.6,7.64327,2,7.10543e-13,-1.42109e-11
15.7,7.69327,2,0,0
15.8,7.74327,2,0,0
15.9,7.79327,2,0,0
16,7.84327,2,0,0
16.1,7.89327,2,0,0
16.2,7.94327,2,0,2.84217e-11
16.3,7.99327,2,1.42109e-12,-7.10543e-11
16.4,8.04327,2,-2.13163e-12,7.10543e-11
16.5,8.09327,2,1.42109e-12,-2.84217e-11
16.6,8.14327,2,0,-2.84217e-11
16.7,8.19327,2,-1.42109e-12,2.84217e-11
16.8,8.24327,2,0,2.84217e-11
16.9,8.29327,2,1.42109e-12,-2.84217e-11
17,8.34327,2,0,-2.84217e-11
17.1,8.39327,2,-1.42109e-12,4.26326e-11
17.2,8.44327,2,7.10543e-13,1.42109e-11
17.3,8.49327,2,1.42109e-12,-5.68434e-11
17.4,8.54327,2,-1.42109e-12,2.84217e-11
17.5,8.59327,2,0,0
17.6,8.64327,2,0,0
17.7,8.69327,2,0,0
17.8,8.74327,2,0,0
17.9,8.79327,2,0,1.42109e-11
18,8.84327,2,7.10543e-13,-1.42109e-11
18.1,8.89327,2,0,0
18.2,8.94327,2,0,-2.84217e-11
18.3,8.99327,2,-1.42109e-12,4.26326e-11
