qp_position,ref_velocity,qp_velocity,qp_acceleration,qp_jerk
13.5,2,1.97287,-0.249242,0.254539
13.6,2,1.96019,-0.23634,0.244631
13.7,2,1.9481,-0.22386,0.235289
13.8,2,1.93657,-0.211782,0.226499
13.9,2,1.92561,-0.200086,0.218245
14,2,1.91519,-0.188752,0.210513
14.1,2,1.90531,-0.177761,0.203292
14.2,2,1.89595,-0.167091,0.196567
14.3,2,1.88712,-0.156723,0.190329
14.4,2,1.8788,-0.146637,0.184566
14.5,2,1.87098,-0.136814,0.17927
14.6,2,1.86365,-0.127232,0.17443
14.7,2,1.85681,-0.117873,0.170038
14.8,2,1.85045,-0.108715,0.166087
14.9,2,1.84457,-0.0997395,0.16257
15,2,1.83915,-0.0909261,0.159481
15.1,2,1.8342,-0.0822546,0.156813
15.2,2,1.82971,-0.0737052,0.154562
15.3,2,1.82568,-0.0652579,0.152724
15.4,2,1.8221,-0.0568926,0.151294
15.5,2,1.81897,-0.0485893,0.15027
15.6,2,1.8163,-0.040328,0.149649
15.7,2,1.81408,-0.0320888,0.149429
15.8,2,1.81231,-0.0238516,0.149609
15.9,2,1.81099,-0.0155965,0.150188
16,2,1.81013,-0.0073034,0.151165
16.1,2,1.80973,0.00104766,0.152543
16.2,2,1.80979,0.00947669,0.15432
16.3,2,1.81031,0.0180037,0.1565
16.4,2,1.8113,0.0266486,0.159085
16.5,2,1.81277,0.0354316,0.162078
16.6,2,1.81473,0.0443724,0.165482
16.7,2,1.81717,0.0534913,0.169302
16.8,2,1.82011,0.0628081,0.173544
16.9,2,1.82356,0.0723429,0.178212
17,2,1.82752,0.0821156,0.183313
17.1,2,1.83201,0.0921463,0.188856
17.2,2,1.83703,0.102455,0.194847
17.3,2,1.8426,0.113062,0.201297
17.4,2,1.84873,0.123986,0.208214
17.5,2,1.85542,0.135249,0.21561
17.6,2,1.8627,0.146869,0.223495
17.7,2,1.87057,0.158868,0.231884
17.8,2,1.87904,0.171264,0.240788
17.9,2,1.88813,0.184079,0.250222
18,2,1.89786,0.197331,0.260202
18.1,2,1.90823,0.211041,0.270745
18.2,2,1.91925,0.22523,0.281867
18.3,2,1.93095,0.239916,0.293586
18.4,2,1.94334,0.25512,0.305924
18.5,2,1.95642,0.270862,0.3189
18.6,2,1.97022,0.287162,0.332536
18.7,2,1.98474,0.304041,0.346855
18.8,2,2,0.321517,0.324373
18.9,2.86957,2.01601,0.337735,0.302023
19,5,2.0327,0.352716,0.279775
19.1,5,2.04997,0.36648,0.257606
19.2,5,2.06777,0.379047,0.235496
19.3,5,2.08602,0.390435,0.21343
19.4,5,2.10466,0.400667,0.191397
19.5,5,2.12361,0.409761,0.169391
19.6,5,2.14282,0.417737,0.147407
19.7,5,2.16223,0.424616,0.125445
19.8,5,2.18178,0.430418,0.103508
19.9,5,2.20141,0.435162,0.0816015
20,4,2.22109,0.438869,0.0597326
20.1,4,2.24077,0.441558,0.0379113
20.2,4,2.26039,0.44325,0.0161493
20.3,4,2.27991,0.443965,-0.00554006
20.4,4,2.2993,0.443722,-0.0271418
20.5,4,2.31852,0.442541,-0.0486397
20.6,4,2.33753,0.440443,-0.0700165
20.7,4,2.3563,0.437448,-0.0912537
20.8,4,2.37479,0.433575,-0.112332
20.9,4,2.39298,0.428845,-0.133232
21,4,2.41083,0.423278,-0.153934
21.1,4,2.42832,0.416892,-0.174415
21.2,4,2.44543,0.40971,-0.194656
21.3,4,2.46213,0.40175,-0.214634
21.4,4,2.47839,0.393033,-0.234328
21.5,4,2.4942,0.383578,-0.253718
21.6,4,2.50953,0.373405,-0.27278
21.7,4,2.52437,0.362536,-0.291493
21.8,4,2.53869,0.350988,-0.309837
21.9,4,2.55248,0.338784,-0.327791
22,4,2.56571,0.325942,-0.345333
22.1,4,2.57839,0.312482,-0.362443
22.2,4,2.59048,0.298425,-0.379101
22.3,4,2.60197,0.283791,-0.395287
22.4,4,2.61286,0.268599,-0.410984
22.5,4,2.62312,0.25287,-0.42617
22.6,4,2.63274,0.236623,-0.44083
22.7,4,2.64171,0.219879,-0.454945
22.8,4,2.65002,0.202657,-0.468499
22.9,4,2.65766,0.184978,-0.481474
23,4,2.66461,0.166862,-0.493857
23.1,4,2.67086,0.148328,-0.505631
23.2,4,2.67641,0.129396,-0.516783
23.3,4,2.68124,0.110088,-0.5273
23.4,4,2.68534,0.0904214,-0.537168
23.5,4,2.68871,0.0704177,-0.546377
23.6,4,2.69133,0.0500965,-0.554914
23.7,4,2.69319,0.0294779,-0.562769
23.8,4,2.69428,0.0085819,-0.569934
23.9,4,2.6946,-0.0125716,-0.5764
24,4,2.69413,-0.0339625,-0.582158
24.1,4,2.69287,-0.0555708,-0.587203
24.2,4,2.69081,-0.0773766,-0.591527
24.3,4,2.68793,-0.0993599,-0.595126
24.4,4,2.68423,-0.121501,-0.597997
24.5,4,2.6797,-0.143779,-0.600135
24.6,4,2.67433,-0.166174,-0.601538
24.7,4,2.66811,-0.188667,-0.602205
24.8,4,2.66103,-0.211238,-0.602135
24.9,4,2.65308,-0.233866,-0.60133
25,4,2.64425,-0.256531,-0.599789
25.1,4,2.63453,-0.279214,-0.597517
25.2,4,2.62391,-0.301894,-0.594517
25.3,4,2.61238,-0.324552,-0.590793
25.4,4,2.59993,-0.347167,-0.58635
25.5,4,2.58654,-0.369719,-0.581195
25.6,4,2.57221,-0.392189,-0.575337
25.7,4,2.55691,-0.414557,-0.568782
25.8,4,2.54065,-0.436802,-0.561542
25.9,4,2.5234,-0.458904,-0.553627
26,4,2.50515,-0.480844,-0.54505
26.1,4,2.48588,-0.502601,-0.535822
26.2,4,2.46558,-0.524155,-0.525959
26.3,4,2.44423,-0.545487,-0.515475
26.4,4,2.42181,-0.566577,-0.504389
26.5,4,2.3983,-0.587404,-0.492716
26.6,4,2.37368,-0.607948,-0.480476
26.7,4,2.34793,-0.62819,-0.46769
26.8,4,2.32102,-0.64811,-0.454379
26.9,4,2.29292,-0.667686,-0.440566
27,4,2.26362,-0.6869,-0.426276
27.1,4,2.23306,-0.705732,-0.411533
27.2,4,2.20123,-0.724161,-0.396365
27.3,4,2.16809,-0.742168,-0.380801
27.4,4,2.13358,-0.759732,-0.364872
27.5,4,2.09767,-0.776833,-0.348608
27.6,4,2.0603,-0.793452,-0.332044
27.7,4,2.02143,-0.809568,-0.315215
27.8,4,1.98097,-0.825162,-0.298159
27.9,4,1.93887,-0.840213,-0.280915
28,4,1.89504,-0.854702,-0.263525
28.1,4,1.84939,-0.868608,-0.246033
28.2,4,1.80181,-0.881911,-0.228486
28.3,4,1.75218,-0.894592,-0.210934
28.4,4,1.70036,-0.90663,-0.193429
28.5,4,1.64617,-0.918006,-0.176029
28.6,4,1.58943,-0.928699,-0.158795
28.7,4,1.52988,-0.93869,-0.141792
28.8,4,1.46724,-0.947958,-0.125091
28.9,4,1.40115,-0.956484,-0.108771
29,4,1.33113,-0.964247,-0.0929193
29.1,4,1.25661,-0.971227,-0.0776321
29.2,4,1.17678,-0.977405,-0.0630209
29.3,4,1.09057,-0.982761,-0.0492151
29.4,4,0.996388,-0.987273,-0.0363705
29.5,4,0.891815,-0.990924,-0.0246825
29.6,4,0.772754,-0.993691,-0.0144128
29.7,4,0.631198,-0.995556,-0.0059494
29.8,4,0.44643,-0.996499,1.53211e-09
29.9,0,0,-0.996499,1.53211e-09
